name,category ,desc
impactful,fresh-thinking,"External constriction of right little finger, subs encntr"
implementation,Self-enabling,"Poisoning by oth fibrin-affct drugs, accidental, subs"
5th generation,implementation,"Person injured wh brd/alit from oth sp off-rd mv, subs"
monitoring,Vision-oriented,"Poisn by antimalari/drugs acting on bld protzoa, self-harm"
Cross-platform,Universal,Personal history of other medical treatment
approach,system-worthy,Monoplg upr lmb fol ntrm subarach hemor aff right dom side
support,composite,"Other injury of thoracic trachea, sequela"
transitional,Synergistic,"Displ oblique fx shaft of l fibula, 7thC"
complexity,function,Corrosion of first degree of right foot
superstructure,Focused,Cysticercosis of other sites
Sharable,installation,Insect bite (nonvenomous) of scrotum and testes
discrete,Focused,"Burn of unsp degree of unspecified thumb (nail), sequela"
Cross-group,Synergized,Other specified item causing external constriction
migration,knowledge base,"Oth item causing external constriction, subs encntr"
hardware,standardization,"Other juvenile osteochondrosis, hand"
Reduced,matrix,"Nondisp transverse fx shaft of l tibia, 7thM"
access,system-worthy,"Pnctr w foreign body of unsp finger w damage to nail, subs"
analyzer,didactic,"Unstable burst fx T9-T10 vertebra, subs for fx w routn heal"
Organic,Synergized,Patient's intentional underdosing of medication regimen
User-centric,Future-proofed,Pruritus
Ameliorated,content-based,"Unsp subluxation of unsp ulnohumeral joint, subs encntr"
complexity,Reduced,"Inj oth blood vessels of thorax, left side, sequela"
bifurcated,secondary,"Toxic effect of glycols, accidental (unintentional), sequela"
client-server,actuating,"Underdosing of unspecified topical agent, subs encntr"
middleware,web-enabled,Intercostal pain
matrices,projection,"External constriction of unsp parts of thorax, init encntr"
object-oriented,model,"Central cord syndrome at C4, subs"
executive,Quality-focused,"Disp fx of fourth metatarsal bone, unspecified foot"
Synergistic,mission-critical,Personal history of congenital malform of dgstv sys
6th generation,Centralized,Osteonecrosis due to previous trauma of left ulna
Future-proofed,secured line,"Unsp comp of anesthesia during pregnancy, unsp trimester"
hybrid,zero defect,Ejaculatory dysfunction
interface,archive,"Poisoning by expectorants, accidental (unintentional), init"
Fully-configurable,extranet,"Disp fx of base of third metacarpal bone, right hand, init"
User-centric,actuating,"Unsp inj musc/tend posterior grp at low leg level, left leg"
real-time,Customer-focused,"Struck by other sports foot wear, sequela"
software,asynchronous,Unspecified injury of blood vessel of left index finger
directional,bifurcated,Frostbite with tissue necrosis of foot
database,local area network,"Fistula, knee"
Configurable,access,"Nondisp fx of med malleolus of r tibia, 7thQ"
Profound,structure,"Poisoning by unsp agents aff the GI sys, undetermined, subs"
transitional,Implemented,Rheu arthrit w rheu factor of left ank/ft w/o org/sys involv
Synergized,Advanced,"Poisoning by sulfonamides, accidental (unintentional)"
dynamic,ability,"Unsp fracture of right forearm, subs for clos fx w malunion"
incremental,orchestration,Calculus of bile duct w/o cholangitis or cholecyst w obst
global,clear-thinking,"Abrasion of right upper arm, initial encounter"
implementation,Front-line,Car passenger injured in collision w statnry object nontraf
reciprocal,system-worthy,Hallucinogen dependence w hallucinogen-induced mood disorder
Graphic Interface,Phased,"Fx oth prt scapula, unsp shoulder, subs for fx w malunion"
Multi-tiered,context-sensitive,"Disp fx of medial epicondyle of r humerus, sequela"
Distributed,Monitored,"Unsp comp of fb acc left in body fol surgical op, sequela"
strategy,algorithm,Interstitial cystitis (chronic) without hematuria
maximized,Organized,Miliary tuberculosis
initiative,responsive,"Nondisp fx of proximal phalanx of unsp great toe, sequela"
info-mediaries,Persevering,"Intracranial (nontraumatic) hemorrhage of newborn, unsp"
implementation,Networked,"Unsp superficial injury of lower back and pelvis, subs"
Ergonomic,array,"Oth nondisp fx of 7th cervcal vert, subs for fx w nonunion"
Optimized,Down-sized,"Unspecified superficial injury of right foot, sequela"
hardware,Expanded,Underdosing of unspecified antidepressants
focus group,local area network,"Chondromalacia, joints of right hand"
Team-oriented,structure,"Nondisp fx of ant wall of l acetab, subs for fx w nonunion"
User-friendly,infrastructure,"Unsp physeal fx lower end radius, right arm, sequela"
info-mediaries,exuding,Syphilis of lung and bronchus
Sharable,Function-based,"Nondisp dome fx left acetabulum, subs for fx w nonunion"
Future-proofed,Front-line,Oth psychoactive substance abuse w sleep disorder
encompassing,database,Pneumonia due to other staphylococcus
User-centric,Open-source,"Disorder of pituitary gland, unspecified"
flexibility,uniform,"Juvenile osteochondrosis of radius and ulna, unspecified arm"
Universal,demand-driven,Other non-follicular lymphoma
high-level,structure,"Occupant of stcar injured in collisn/hit by roll stok, init"
interactive,Progressive,"Other congenital anemias, not elsewhere classified"
Monitored,website,"Postauricular fistula, left ear"
Public-key,Business-focused,"Chronic ischemic heart disease, unspecified"
Seamless,Expanded,Corrosion of third degree of right thumb (nail)
fault-tolerant,Self-enabling,"Other parachutist accident, sequela"
Ergonomic,synergy,"Injury of medial plantar nerve, unspecified leg, init encntr"
Monitored,success,"Exudative age-rel mclr degn, bi, with actv chrdl neovas"
explicit,Persevering,Salter-Harris Type I physeal fracture of calcaneus
holistic,multi-tasking,"Unsp physeal fracture of lower end of ulna, unspecified arm"
Secured,Automated,"Medial sublux of proximal end of tibia, right knee, sequela"
matrices,implementation,Dislocation of metatarsophalangeal joint of unsp great toe
logistical,function,"Corrosion of first degree of right hand, unsp site, sequela"
throughput,zero administration,Problems related to education and literacy
Up-sized,core,"Heat syncope, sequela"
dynamic,fresh-thinking,"Torus fx upper end of l humerus, subs for fx w nonunion"
eco-centric,actuating,"Oth fx shaft of left femur, subs for clos fx w malunion"
Diverse,bifurcated,"Traum rupt of collat ligmt of unsp finger at MCP/IP jt, sqla"
pricing structure,intangible,"Unsp fx upper end of r radius, init for opn fx type 3A/B/C"
Graphical User Interface,Persevering,Other diseases of esophagus
Pre-emptive,matrix,"Osteonecrosis due to drugs, unspecified humerus"
Networked,protocol,"Nondisp transverse fx unsp patella, 7thG"
Enterprise-wide,Persistent,"Underdosing of primarily systemic and hematolog agents, subs"
Stand-alone,moratorium,"Corneal ulcer with hypopyon, unspecified eye"
holistic,secured line,"Nondisp dome fracture of right talus, subs for fx w nonunion"
extranet,structure,"Other assault by drowning and submersion, sequela"
Fundamental,secondary,Acute myeloid leukemia with multilineage dysplasia
Versatile,service-desk,"Nondisp fx of intermed cuneiform of l foot, init for opn fx"
transitional,Multi-lateral,"Type III traum spondylolysis of 3rd cervcal vert, 7thG"
disintermediate,Fully-configurable,Other vitreous opacities
Multi-tiered,success,Corrosion of unspecified degree of scapular region
knowledge user,migration,"Laceration of unsp msl/tnd at ank/ft level, right foot, subs"
coherent,Organized,"Unsp inj unsp blood vess at shldr/up arm, right arm, sequela"
matrices,holistic,"Unsp athscl unsp type bypass of the extremities, left leg"
customer loyalty,Versatile,"Exposure to smoke, fire and flames, undet intent, subs"
Quality-focused,motivating,"Unsp fx the low end left rad, subs for clos fx w routn heal"
multimedia,analyzing,"Nondisp avulsion fx left ilium, subs for fx w routn heal"
Seamless,Progressive,Personal history of in-situ neoplasm
regional,static,"Corneal ulcer with hypopyon, right eye"
Stand-alone,neutral,"Nondisp seg fx shaft of r tibia, 7thF"
multimedia,complexity,Crushing injury of left hip
product,mission-critical,"Unspecified injury of peroneal artery, left leg, subs encntr"
6th generation,Triple-buffered,"Condctv hear loss, uni, left ear, w unrestr hear cntra side"
standardization,leverage,"Person outside hv veh inj in clsn w 2/3-whl mv in traf, subs"
circuit,tangible,Other seborrheic keratosis
productivity,high-level,"Oth mult gest,unab to dtrm num plcnta & amnio sacs, unsp tri"
encryption,Extended,"Underdosing of antimalari/drugs acting on bld protzoa, subs"
system engine,mobile,"Lacerat msl/fasc/tnd post grp at thi lev, right thigh, init"
utilisation,24/7,"Poisoning by diagnostic agents, accidental (unintentional)"
Public-key,Organized,Cocaine dependence with unspecified cocaine-induced disorder
workforce,asymmetric,Toxoplasmosis with other organ involvement
analyzer,Proactive,"Intcran inj w LOC w death due to brain injury bf consc, subs"
local,orchestration,"Corrosion of internal genitourinary organs, subs encntr"
Optimized,Graphical User Interface,"Nondisp fx of lateral condyle of unsp femr, 7thP"
Reverse-engineered,methodology,"Complete traumatic amputation of left foot, level unsp, init"
eco-centric,incremental,"Stress fracture, right shoulder, subs for fx w nonunion"
Self-enabling,intangible,"Other rupture of muscle (nontraumatic), right thigh"
Cross-group,De-engineered,"Nondisp bimalleol fx l low leg, 7thN"
content-based,archive,"Term delivery with preterm labor, unsp trimester, fetus 2"
Sharable,hardware,"Lacerat unsp blood vessel at shldr/up arm, right arm, subs"
Horizontal,projection,Nodules of vocal cords
background,benchmark,"Asphyxiation due to being trapped in bed linens, self-harm"
local area network,Object-based,"Lead-induced gout, unspecified elbow"
Realigned,moderator,"Chalazion left eye, unspecified eyelid"
Proactive,superstructure,Occlusion and stenosis of left middle cerebral artery
Total,secondary,Mechanical ptosis of right eyelid
logistical,Exclusive,Partial traumatic MCP amputation of right thumb
Re-engineered,Configurable,"Pressure ulcer of left upper back, unspecified stage"
encryption,Sharable,"Puncture wound with foreign body, right thigh, init encntr"
Multi-layered,Switchable,"Serous detachment of retinal pigment epithelium, bilateral"
Extended,local,Encounter for fit/adjst of partial artificial leg
Triple-buffered,Optimized,Displ suprcndl fracture w intrcndl extn lower end of r femur
Persevering,systematic,Unspecified open wound of toe without damage to nail
collaboration,content-based,Embedded and impacted teeth
Ameliorated,Visionary,"Unsp fracture of left femur, subs for clos fx w routn heal"
Re-engineered,Assimilated,"Dislocation of metacarpal (bone), proximal end of right hand"
Extended,interface,Struck by parrot
throughput,Pre-emptive,"Open bite of abd wall, right upper q w penet perit cav, sqla"
